Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count
Saudi Arabia,A,3,DF,Osama Hawsawi (captain),3/31/84,34,134,7,Al-Hilal,1
Saudi Arabia,A,4,DF,Ali Al-Bulaihi,11/21/89,28,3,0,Al-Hilal,1
Saudi Arabia,A,5,DF,Omar Hawsawi,9/27/85,32,41,3,Al-Nassr,1
Saudi Arabia,A,6,DF,Mohammed Al-Breik,9/15/92,25,10,1,Al-Hilal,1
Saudi Arabia,A,7,MF,Salman Al-Faraj,8/1/89,28,42,3,Al-Hilal,1
Saudi Arabia,A,8,MF,Yahya Al-Shehri,6/26/90,27,56,8,Leganés,1
Saudi Arabia,A,9,MF,Hattan Bahebri,7/16/92,25,4,0,Al-Shabab,1
Saudi Arabia,A,10,FW,Mohammad Al-Sahlawi,1/10/87,31,39,28,Al-Nassr,1
Saudi Arabia,A,11,MF,Abdulmalek Al-Khaibri,3/13/86,32,36,0,Al-Hilal,1
Saudi Arabia,A,12,MF,Mohamed Kanno,9/22/94,23,6,1,Al-Hilal,1
Saudi Arabia,A,13,DF,Yasser Al-Shahrani,5/25/92,26,36,0,Al-Hilal,1
Saudi Arabia,A,14,MF,Abdullah Otayf,8/3/92,25,15,1,Al-Hilal,1
Saudi Arabia,A,15,MF,Abdullah Al-Khaibari,8/16/96,21,4,0,Al-Shabab,1
Saudi Arabia,A,16,MF,Housain Al-Mogahwi,3/24/88,30,17,1,Al-Ahli,1
Saudi Arabia,A,17,MF,Taisir Al-Jassim,7/25/84,33,131,18,Al-Ahli,1
Saudi Arabia,A,18,MF,Salem Al-Dawsari,8/19/91,26,32,4,Villarreal,1
Saudi Arabia,A,19,FW,Fahad Al-Muwallad,9/14/94,23,44,10,Levante,1
Saudi Arabia,A,20,FW,Muhannad Assiri,10/14/86,31,18,4,Al-Ahli,1
Saudi Arabia,A,21,GK,Yasser Al-Mosailem,2/27/84,34,32,0,Al-Ahli,1
Saudi Arabia,A,22,GK,Mohammed Al-Owais,10/10/91,26,6,0,Al-Ahli,1
Saudi Arabia,A,23,DF,Motaz Hawsawi,2/17/92,26,17,0,Al-Ahli,1
Uruguay,A,1,GK,Fernando Muslera,6/16/86,31,96,0,Galatasaray,1
Uruguay,A,2,DF,José Giménez,1/20/95,23,41,4,Atlético Madrid,1
Uruguay,A,3,DF,Diego Godín (captain),2/16/86,32,115,8,Atlético Madrid,1
Uruguay,A,4,DF,Guillermo Varela,3/24/93,25,3,0,Peñarol,1
Uruguay,A,5,MF,Carlos Sánchez,12/2/84,33,35,1,Monterrey,1
Uruguay,A,6,MF,Rodrigo Bentancur,6/25/97,20,6,0,Juventus,1
Uruguay,A,7,MF,Cristian Rodríguez,9/30/85,32,104,11,Peñarol,1
Uruguay,A,8,MF,Nahitan Nández,12/28/95,22,11,0,Boca Juniors,1
Uruguay,A,9,FW,Luis Suárez,1/24/87,31,97,50,Barcelona,1
Uruguay,A,10,FW,Giorgian De Arrascaeta,6/1/94,24,13,1,Cruzeiro,1
Uruguay,A,11,FW,Cristhian Stuani,10/12/86,31,40,5,Girona,1
Uruguay,A,12,GK,Martín Campaña,5/29/89,29,1,0,Independiente,1
Uruguay,A,13,DF,Gastón Silva,3/5/94,24,17,0,Independiente,1
Uruguay,A,14,MF,Lucas Torreira,2/11/96,22,2,0,Sampdoria,1
Uruguay,A,15,MF,Matías Vecino,8/24/91,26,21,1,Inter Milan,1
Uruguay,A,16,DF,Maxi Pereira,6/8/84,33,124,3,Porto,1
Uruguay,A,17,MF,Diego Laxalt,2/7/93,25,5,0,Genoa,1
Uruguay,A,18,FW,Maxi Gómez,8/14/96,21,4,0,Celta Vigo,1
Uruguay,A,19,DF,Sebastián Coates,10/7/90,27,30,1,Sporting CP,1
Uruguay,A,20,FW,Jonathan Urretaviscaya,3/19/90,28,4,0,Monterrey,1
Uruguay,A,21,FW,Edinson Cavani,2/14/87,31,100,42,Paris Saint-Germain,1
Uruguay,A,22,DF,Martín Cáceres,4/7/87,31,75,4,Lazio,1
Uruguay,A,23,GK,Martín Silva,3/25/83,35,11,0,Vasco da Gama,1
Iran,B,1,GK,Alireza Beiranvand,9/21/92,25,21,0,Persepolis,1
Iran,B,2,MF,Mehdi Torabi,9/10/94,23,16,4,Saipa,1
Iran,B,3,DF,Ehsan Hajsafi,2/25/90,28,93,6,Olympiacos,1
Iran,B,4,DF,Rouzbeh Cheshmi,7/24/93,24,9,1,Esteghlal,1
Iran,B,5,DF,Milad Mohammadi,9/29/93,24,18,0,Akhmat Grozny,1
Iran,B,6,MF,Saeid Ezatolahi,10/1/96,21,25,1,Amkar Perm,1
Iran,B,7,MF,Masoud Shojaei (captain),6/9/84,33,73,8,AEK Athens,1
Iran,B,8,DF,Morteza Pouraliganji,4/19/92,26,26,2,Al-Sadd,1
Iran,B,9,MF,Omid Ebrahimi,9/16/87,30,29,0,Esteghlal,1
Iran,B,10,FW,Karim Ansarifard,4/3/90,28,63,16,Olympiacos,1
Iran,B,11,MF,Vahid Amiri,4/2/88,30,35,1,Persepolis,1
Iran,B,12,GK,Mohammad Rashid Mazaheri,5/18/89,29,3,0,Zob Ahan Esfahan,1
Iran,B,13,DF,Mohammad Reza Khanzadeh,5/11/91,27,11,1,Padideh,1
Iran,B,14,FW,Saman Ghoddos,9/6/93,24,7,1,Östersund,1
Iran,B,15,DF,Pejman Montazeri,9/6/83,34,46,1,Esteghlal,1
Iran,B,16,FW,Reza Ghoochannejhad,9/20/87,30,42,17,Heerenveen,1
Iran,B,17,FW,Mehdi Taremi,7/18/92,25,25,11,Al-Gharafa,1
Iran,B,18,FW,Alireza Jahanbakhsh,8/11/93,24,37,4,AZ,1
Iran,B,19,DF,Majid Hosseini,6/20/96,21,1,0,Esteghlal,1
Iran,B,20,FW,Sardar Azmoun,1/1/95,23,32,23,Rubin Kazan,1
Iran,B,21,FW,Ashkan Dejagah,7/5/86,31,45,9,Nottingham Forest,1
Iran,B,22,GK,Amir Abedzadeh,4/26/93,25,1,0,Marítimo,1
Iran,B,23,DF,Ramin Rezaeian,3/21/90,28,27,2,Oostende,1
Morocco,B,1,GK,Yassine Bounou,4/5/91,27,11,0,Girona,1
Morocco,B,2,DF,Achraf Hakimi,11/4/98,19,9,1,Real Madrid,1
Morocco,B,3,DF,Hamza Mendyl,10/21/97,20,13,0,Lille,1
Morocco,B,4,DF,Manuel da Costa,5/6/86,32,27,1,İstanbul Başakşehir,1
Morocco,B,5,DF,Medhi Benatia (captain),4/17/87,31,56,2,Juventus,1
Morocco,B,6,DF,Romain Saïss,3/26/90,28,23,1,Wolverhampton Wanderers,1
Morocco,B,7,MF,Hakim Ziyech,3/19/93,25,17,8,Ajax,1
Morocco,B,8,MF,Karim El Ahmadi,1/27/85,33,50,1,Feyenoord,1
Morocco,B,9,FW,Ayoub El Kaabi,6/25/93,24,9,11,RS Berkane,1
Morocco,B,10,MF,Younès Belhanda,2/25/90,28,46,4,Galatasaray,1
Morocco,B,11,MF,Fayçal Fajr,8/1/88,29,23,2,Getafe,1
Morocco,B,12,GK,Munir Mohamedi,5/10/89,29,26,0,Numancia,1
Morocco,B,13,FW,Khalid Boutaïb,4/24/87,31,17,7,Yeni Malatyaspor,1
Morocco,B,14,MF,Mbark Boussoufa,8/15/84,33,58,7,Al-Jazira,1
Morocco,B,15,MF,Youssef Aït Bennasser,7/7/96,21,13,0,Caen,1
Morocco,B,16,MF,Nordin Amrabat,3/31/87,31,43,4,Leganés,1
Morocco,B,17,DF,Nabil Dirar,2/25/86,32,34,3,Fenerbahçe,1
Morocco,B,18,MF,Amine Harit,6/18/97,20,5,0,Schalke 04,1
Morocco,B,19,FW,Youssef En-Nesyri,6/1/97,21,15,1,Málaga,1
Morocco,B,20,FW,Aziz Bouhaddouz,3/30/87,31,14,3,FC St. Pauli,1
Morocco,B,21,MF,Sofyan Amrabat,8/21/96,21,5,0,Feyenoord,1
Morocco,B,22,GK,Ahmed Reda Tagnaouti,4/5/96,22,2,0,IR Tanger,1
Morocco,B,23,MF,Mehdi Carcela,7/1/89,28,20,1,Standard Liège,1
Portugal,B,1,GK,Rui Patrício,2/15/88,30,68,0,Sporting CP,1
Portugal,B,2,DF,Bruno Alves,11/27/81,36,95,11,Rangers,1
Portugal,B,3,DF,Pepe,2/26/83,35,94,5,Beşiktaş,1
Portugal,B,4,MF,Manuel Fernandes,2/5/86,32,14,3,Lokomotiv Moscow,1
Portugal,B,5,DF,Raphaël Guerreiro,12/22/93,24,23,2,Borussia Dortmund,1
Portugal,B,6,DF,José Fonte,12/22/83,34,30,0,Dalian Yifang,1
Portugal,B,7,FW,Cristiano Ronaldo (captain),2/5/85,33,149,81,Real Madrid,1
Portugal,B,8,MF,João Moutinho,9/8/86,31,109,7,Monaco,1
Portugal,B,9,FW,André Silva,11/6/95,22,22,12,Milan,1
Portugal,B,10,MF,João Mário,1/19/93,25,35,2,West Ham United,1
Portugal,B,11,MF,Bernardo Silva,8/10/94,23,24,2,Manchester City,1
Portugal,B,12,GK,Anthony Lopes,10/1/90,27,7,0,Lyon,1
Portugal,B,13,DF,Rúben Dias,5/14/97,21,1,0,Benfica,1
Portugal,B,14,MF,William Carvalho,4/7/92,26,42,2,Sporting CP,1
Portugal,B,15,DF,Ricardo Pereira,10/6/93,24,4,0,Porto,1
Portugal,B,16,MF,Bruno Fernandes,9/8/94,23,5,0,Sporting CP,1
Portugal,B,17,FW,Gonçalo Guedes,11/29/96,21,9,1,Valencia,1
Portugal,B,18,FW,Gelson Martins,5/11/95,23,18,0,Sporting CP,1
Portugal,B,19,DF,Mário Rui,5/27/91,27,3,0,Napoli,1
Portugal,B,20,FW,Ricardo Quaresma,9/26/83,34,76,9,Beşiktaş,1
Portugal,B,21,DF,Cédric,8/31/91,26,28,1,Southampton,1
Portugal,B,22,GK,Beto,5/1/82,36,14,0,Göztepe,1
Portugal,B,23,MF,Adrien Silva,3/15/89,29,22,1,Leicester City,1
Spain,B,1,GK,David de Gea,11/7/90,27,28,0,Manchester United,1
Spain,B,2,DF,Dani Carvajal,1/11/92,26,15,0,Real Madrid,1
Spain,B,3,DF,Gerard Piqué,2/2/87,31,97,5,Barcelona,1
Spain,B,4,DF,Nacho,1/18/90,28,16,0,Real Madrid,1
Spain,B,5,MF,Sergio Busquets,7/16/88,29,102,2,Barcelona,1
Spain,B,6,MF,Andrés Iniesta,5/11/84,34,126,14,Barcelona,1
Spain,B,7,MF,Saúl,11/21/94,23,10,0,Atlético Madrid,1
Spain,B,8,MF,Koke,1/8/92,26,39,0,Atlético Madrid,1
Spain,B,9,FW,Rodrigo,3/6/91,27,5,2,Valencia,1
Spain,B,10,MF,Thiago,4/11/91,27,28,2,Bayern Munich,1
Spain,B,11,FW,Lucas Vázquez,7/1/91,26,6,0,Real Madrid,1
Spain,B,12,DF,Álvaro Odriozola,12/14/95,22,3,1,Real Sociedad,1
Spain,B,13,GK,Kepa Arrizabalaga,10/3/94,23,1,0,Athletic Bilbao,1
Spain,B,14,DF,César Azpilicueta,8/28/89,28,22,0,Chelsea,1
Spain,B,15,DF,Sergio Ramos (captain),3/30/86,32,151,13,Real Madrid,1
Spain,B,16,DF,Nacho Monreal,2/26/86,32,22,1,Arsenal,1
Spain,B,17,FW,Iago Aspas,8/1/87,30,9,4,Celta Vigo,1
Spain,B,18,DF,Jordi Alba,3/21/89,29,61,8,Barcelona,1
Spain,B,19,FW,Diego Costa,10/7/88,29,19,7,Atlético Madrid,1
Spain,B,20,MF,Marco Asensio,1/21/96,22,11,0,Real Madrid,1
Spain,B,21,FW,David Silva,1/8/86,32,120,35,Manchester City,1
Spain,B,22,MF,Isco,4/21/92,26,27,10,Real Madrid,1
Spain,B,23,GK,Pepe Reina,8/31/82,35,36,0,Napoli,1
Australia,C,1,GK,Mathew Ryan,4/8/92,26,43,0,Brighton & Hove Albion,1
Australia,C,2,DF,Milos Degenek,4/28/94,24,18,0,Yokohama F. Marinos,1
Australia,C,3,DF,James Meredith,4/5/88,30,2,0,Millwall,1
Australia,C,4,FW,Tim Cahill,12/6/79,38,105,50,Millwall,1
Australia,C,5,DF,Mark Milligan,8/4/85,32,70,6,Al-Ahli,1
Australia,C,6,DF,Matthew Jurman,12/8/89,28,4,0,Suwon Samsung Bluewings,1
Australia,C,7,FW,Mathew Leckie,2/4/91,27,52,8,Hertha BSC,1
Australia,C,8,MF,Massimo Luongo,9/25/92,25,35,5,Queens Park Rangers,1
Australia,C,9,FW,Tomi Juric,7/22/91,26,34,8,Luzern,1
Australia,C,10,FW,Robbie Kruse,10/5/88,29,63,5,VfL Bochum,1
Australia,C,11,FW,Andrew Nabbout,12/17/92,25,3,1,Urawa Red Diamonds,1
Australia,C,12,GK,Brad Jones,3/19/82,36,5,0,Feyenoord,1
Australia,C,13,MF,Aaron Mooy,9/15/90,27,33,5,Huddersfield Town,1
Australia,C,14,FW,Jamie Maclaren,7/29/93,24,6,0,Hibernian,1
Australia,C,15,MF,Mile Jedinak (captain),8/3/84,33,75,18,Aston Villa,1
Australia,C,16,DF,Aziz Behich,12/16/90,27,22,2,Bursaspor,1
Australia,C,17,FW,Daniel Arzani,1/4/99,19,1,0,Melbourne City,1
Australia,C,18,GK,Danny Vukovic,3/27/85,33,1,0,Genk,1
Australia,C,19,DF,Josh Risdon,7/27/92,25,7,0,Western Sydney Wanderers,1
Australia,C,20,DF,Trent Sainsbury,1/5/92,26,34,3,Grasshoppers,1
Australia,C,21,FW,Dimitri Petratos,11/10/92,25,2,0,Newcastle Jets,1
Australia,C,22,MF,Jackson Irvine,3/7/93,25,18,2,Hull City,1
Australia,C,23,MF,Tom Rogic,12/16/92,25,36,7,Celtic,1
Denmark,C,1,GK,Kasper Schmeichel,11/5/86,31,34,0,Leicester City,1
Denmark,C,2,MF,Michael Krohn-Dehli,6/6/83,34,58,6,Deportivo La Coruña,1
Denmark,C,3,DF,Jannik Vestergaard,8/3/92,25,16,1,Borussia Mönchengladbach,1
Denmark,C,4,DF,Simon Kjær (captain),3/26/89,29,77,3,Sevilla,1
Denmark,C,5,DF,Jonas Knudsen,9/16/92,25,3,0,Ipswich Town,1
Denmark,C,6,DF,Andreas Christensen,4/10/96,22,15,1,Chelsea,1
Denmark,C,7,MF,William Kvist,2/24/85,33,79,2,Copenhagen,1
Denmark,C,8,MF,Thomas Delaney,9/3/91,26,26,4,Werder Bremen,1
Denmark,C,9,FW,Nicolai Jørgensen,1/15/91,27,30,8,Feyenoord,1
Denmark,C,10,MF,Christian Eriksen,2/14/92,26,77,21,Tottenham Hotspur,1
Denmark,C,11,FW,Martin Braithwaite,6/5/91,27,19,1,Bordeaux,1
Denmark,C,12,FW,Kasper Dolberg,10/6/97,20,5,1,Ajax,1
Denmark,C,13,DF,Mathias Jørgensen,4/23/90,28,12,0,Huddersfield Town,1
Denmark,C,14,DF,Henrik Dalsgaard,7/27/89,28,10,0,Brentford,1
Denmark,C,15,FW,Viktor Fischer,6/9/94,23,18,3,Copenhagen,1
Denmark,C,16,GK,Jonas Lössl,2/1/89,29,1,0,Huddersfield Town,1
Denmark,C,17,DF,Jens Stryger Larsen,2/21/91,27,12,1,Udinese,1
Denmark,C,18,MF,Lukas Lerager,7/12/93,24,3,0,Bordeaux,1
Denmark,C,19,MF,Lasse Schöne,5/27/86,32,35,3,Ajax,1
Denmark,C,20,FW,Yussuf Poulsen,6/15/94,23,27,3,RB Leipzig,1
Denmark,C,21,FW,Andreas Cornelius,3/16/93,25,18,4,Atalanta,1
Denmark,C,22,GK,Frederik Rønnow,8/4/92,25,6,0,Brøndby,1
Denmark,C,23,FW,Pione Sisto,2/4/95,23,13,1,Celta Vigo,1
France,C,1,GK,Hugo Lloris (captain),12/26/86,31,97,0,Tottenham Hotspur,1
France,C,2,DF,Benjamin Pavard,3/28/96,22,5,0,VfB Stuttgart,1
France,C,3,DF,Presnel Kimpembe,8/13/95,22,2,0,Paris Saint-Germain,1
France,C,4,DF,Raphaël Varane,4/25/93,25,41,2,Real Madrid,1
France,C,5,DF,Samuel Umtiti,11/14/93,24,18,2,Barcelona,1
France,C,6,MF,Paul Pogba,3/15/93,25,53,9,Manchester United,1
France,C,7,FW,Antoine Griezmann,3/21/91,27,53,20,Atlético Madrid,1
France,C,8,FW,Thomas Lemar,11/12/95,22,11,3,Monaco,1
France,C,9,FW,Olivier Giroud,9/30/86,31,73,31,Chelsea,1
France,C,10,FW,Kylian Mbappé,12/20/98,19,14,3,Paris Saint-Germain,1
France,C,11,FW,Ousmane Dembélé,5/15/97,21,11,2,Barcelona,1
France,C,12,MF,Corentin Tolisso,8/3/94,23,8,0,Bayern Munich,1
France,C,13,MF,N'Golo Kanté,3/29/91,27,23,1,Chelsea,1
France,C,14,MF,Blaise Matuidi,4/9/87,31,66,9,Juventus,1
France,C,15,MF,Steven Nzonzi,12/15/88,29,4,0,Sevilla,1
France,C,16,GK,Steve Mandanda,3/28/85,33,27,0,Marseille,1
France,C,17,DF,Adil Rami,12/27/85,32,35,1,Marseille,1
France,C,18,FW,Nabil Fekir,7/18/93,24,11,2,Lyon,1
France,C,19,DF,Djibril Sidibé,7/29/92,25,16,1,Monaco,1
France,C,20,FW,Florian Thauvin,1/26/93,25,4,0,Marseille,1
France,C,21,DF,Lucas Hernández,2/14/96,22,4,0,Atlético Madrid,1
France,C,22,DF,Benjamin Mendy,7/17/94,23,6,0,Manchester City,1
France,C,23,GK,Alphonse Areola,2/27/93,25,0,0,Paris Saint-Germain,1
Peru,C,1,GK,Pedro Gallese,2/23/90,28,37,0,Veracruz,1
Peru,C,2,DF,Alberto Rodríguez,3/31/84,34,58,0,Atlético Junior,1
Peru,C,3,DF,Aldo Corzo,5/20/89,29,25,0,Universitario,1
Peru,C,4,DF,Anderson Santamaría,1/10/92,26,3,0,Puebla,1
Peru,C,5,DF,Miguel Araujo,10/24/94,23,7,0,Alianza Lima,1
Peru,C,6,DF,Miguel Trauco,8/25/92,25,26,0,Flamengo,1
Peru,C,7,MF,Paolo Hurtado,7/27/90,27,31,3,Vitória de Guimarães,1
Peru,C,8,MF,Christian Cueva,11/23/91,26,43,8,São Paulo,1
Peru,C,9,FW,Paolo Guerrero (captain),1/1/84,34,87,34,Flamengo,1
Peru,C,10,FW,Jefferson Farfán,10/26/84,33,83,25,Lokomotiv Moscow,1
Peru,C,11,FW,Raúl Ruidíaz,7/25/90,27,30,4,Morelia,1
Peru,C,12,GK,Carlos Cáceda,9/27/91,26,4,0,Deportivo Municipal,1
Peru,C,13,MF,Renato Tapia,7/28/95,22,22,1,Feyenoord,1
Peru,C,14,MF,Andy Polo,9/29/94,23,16,1,Portland Timbers,1
Peru,C,15,DF,Christian Ramos,11/4/88,29,65,3,Veracruz,1
Peru,C,16,MF,Wilder Cartagena,9/23/94,23,3,0,Veracruz,1
Peru,C,17,DF,Luis Advíncula,3/2/90,28,64,0,Lobos BUAP,1
Peru,C,18,FW,André Carrillo,6/14/91,26,44,5,Watford,1
Peru,C,19,MF,Yoshimar Yotún,4/7/90,28,72,2,Orlando City,1
Peru,C,20,FW,Edison Flores,5/14/94,24,28,9,AaB,1
Peru,C,21,GK,José Carvallo,3/1/86,32,6,0,UTC,1
Peru,C,22,DF,Nilson Loyola,10/26/94,23,3,0,Melgar,1
Peru,C,23,MF,Pedro Aquino,4/13/95,23,12,0,Lobos BUAP,1
Argentina,D,1,GK,Nahuel Guzmán,2/10/86,32,6,0,UANL,1
Argentina,D,2,DF,Gabriel Mercado,3/18/87,31,20,3,Sevilla,1
Argentina,D,3,DF,Nicolás Tagliafico,8/31/92,25,4,0,Ajax,1
Argentina,D,4,DF,Cristian Ansaldi,9/20/86,31,5,0,Torino,1
Argentina,D,5,MF,Lucas Biglia,1/30/86,32,57,1,Milan,1
Argentina,D,6,DF,Federico Fazio,3/17/87,31,9,1,Roma,1
Argentina,D,7,MF,Éver Banega,6/29/88,29,62,6,Sevilla,1
Argentina,D,8,DF,Marcos Acuña,10/28/91,26,10,0,Sporting CP,1
Argentina,D,9,FW,Gonzalo Higuaín,12/10/87,30,71,31,Juventus,1
Argentina,D,10,FW,Lionel Messi (captain),6/24/87,30,124,64,Barcelona,1
Argentina,D,11,MF,Ángel Di María,2/14/88,30,94,19,Paris Saint-Germain,1
Argentina,D,12,GK,Franco Armani,10/16/86,31,0,0,River Plate,1
Argentina,D,13,MF,Maximiliano Meza,12/15/92,25,2,0,Independiente,1
Argentina,D,14,DF,Javier Mascherano,6/8/84,33,143,3,Hebei China Fortune,1
Argentina,D,15,MF,Manuel Lanzini,2/15/93,25,4,1,West Ham United,1
Argentina,D,16,DF,Marcos Rojo,3/20/90,28,56,2,Manchester United,1
Argentina,D,17,DF,Nicolás Otamendi,2/12/88,30,54,4,Manchester City,1
Argentina,D,18,DF,Eduardo Salvio,7/13/90,27,9,0,Benfica,1
Argentina,D,19,FW,Sergio Agüero,6/2/88,30,85,37,Manchester City,1
Argentina,D,20,MF,Giovani Lo Celso,4/9/96,22,5,0,Paris Saint-Germain,1
Argentina,D,21,FW,Paulo Dybala,11/15/93,24,12,0,Juventus,1
Argentina,D,22,MF,Cristian Pavón,1/21/96,22,5,0,Boca Juniors,1
Argentina,D,23,GK,Willy Caballero,9/28/81,36,3,0,Chelsea,1
Croatia,D,1,GK,Dominik Livaković,1/9/95,23,1,0,Dinamo Zagreb,1
Croatia,D,2,DF,Šime Vrsaljko,1/10/92,26,35,0,Atlético Madrid,1
Croatia,D,3,DF,Ivan Strinić,7/17/87,30,42,0,Sampdoria,1
Croatia,D,4,FW,Ivan Perišić,2/2/89,29,65,17,Inter Milan,1
Croatia,D,5,DF,Vedran Ćorluka,2/5/86,32,98,4,Lokomotiv Moscow,1
Croatia,D,6,DF,Dejan Lovren,7/5/89,28,38,2,Liverpool,1
Croatia,D,7,MF,Ivan Rakitić,3/10/88,30,91,14,Barcelona,1
Croatia,D,8,MF,Mateo Kovačić,5/6/94,24,40,1,Real Madrid,1
Croatia,D,9,FW,Andrej Kramarić,6/19/91,26,30,8,1899 Hoffenheim,1
Croatia,D,10,MF,Luka Modrić (captain),9/9/85,32,105,12,Real Madrid,1
Croatia,D,11,MF,Marcelo Brozović,11/16/92,25,34,6,Inter Milan,1
Croatia,D,12,GK,Lovre Kalinić,4/3/90,28,10,0,Gent,1
Croatia,D,13,DF,Tin Jedvaj,11/28/95,22,11,0,Bayer Leverkusen,1
Croatia,D,14,MF,Filip Bradarić,1/11/92,26,4,0,Rijeka,1
Croatia,D,15,DF,Duje Ćaleta-Car,9/17/96,21,1,0,Red Bull Salzburg,1
Croatia,D,16,FW,Nikola Kalinić,1/5/88,30,41,15,Milan,1
Croatia,D,17,FW,Mario Mandžukić,5/21/86,32,82,30,Juventus,1
Croatia,D,18,FW,Ante Rebić,9/21/93,24,15,1,Eintracht Frankfurt,1
Croatia,D,19,MF,Milan Badelj,2/25/89,29,37,1,Fiorentina,1
Croatia,D,20,FW,Marko Pjaca,5/6/95,23,16,1,Schalke 04,1
Croatia,D,21,DF,Domagoj Vida,4/29/89,29,58,2,Beşiktaş,1
Croatia,D,22,DF,Josip Pivarić,1/30/89,29,19,0,Dynamo Kyiv,1
Croatia,D,23,GK,Danijel Subašić,10/27/84,33,37,0,Monaco,1
Iceland,D,1,GK,Hannes Þór Halldórsson,4/27/84,34,48,0,Randers,1
Iceland,D,2,DF,Birkir Már Sævarsson,11/11/84,33,79,1,Valur,1
