name,age,position,ovr_rating,pot_rating
Jimmy Floyd Hasselbaink,33,ST,85,81
Harry Kewell,26,LWM,85,73
Antti Niemi,33,GK,85,83
Ole Gunnar SolskjÃ_r,32,ST,85,79
Ludovic Giuly,29,CAM,85,82
Angelo Peruzzi,35,GK,85,76
Javier Zanetti,32,RWB,85,81
Frank Rost,32,GK,85,79
Giovane Elber,33,ST,85,82
Jens Nowotny,31,CB,85,81
David James,35,GK,85,85
Wesley Sneijder,21,LM,84,81
Pedrinho,28,CAM,84,79
Nilmar,21,LF,84,83
Vinicius,25,CB,84,79
Juanito,29,CB,84,80
Rivas,26,CB,84,76
Laurent Batlles,29,CAM,84,78
Villa,23,ST,84,83
Carlos Idriss Kameni,21,GK,84,79
Mista,26,ST,84,80
Nihat,25,CF,84,83
Victor,29,RWM,84,81
Benjamin Lauth,24,ST,84,79
Jermain Defoe,22,ST,84,82
F. Torres,21,ST,84,84
Predrag Djordjevic,33,LM,84,79
Mauro Camoranesi,28,RM,84,85
Philippe MexÃ¨s,23,CB,84,80
Roque Santa Cruz,24,ST,84,81
Carlos Gamarra,34,CB,84,81
Tim Howard,26,GK,84,77
Jan Koller,32,ST,84,81
Kieron Dyer,26,CM,84,84
Sylvain Wiltord,31,ST,84,79
Santiago HernÃ¡n Solari,28,LWM,84,83
Marcelo Daniel Gallardo,29,CAM,84,74
Xavi,25,CDM,84,85
Javier LÃ_pez Vallejo,29,GK,84,78
Manuel Pablo,29,RWB,84,80
Savio,31,LWM,84,81
Gabriel Heinze,27,LB,84,81
Simone Inzaghi,29,CF,84,78
Freddie Ljungberg,28,RM,84,83
Marek Jankulovski,28,LM,84,81
Emile Mpenza,27,ST,84,79
Mikael Silvestre,28,CB,84,83
Edgar Davids,32,CM,84,79
Roy Carroll,27,GK,84,75
Massimo Oddo,29,RB,84,79
Louis Saha,27,ST,84,82
John O'Shea,24,CB,84,79
Bonaventure Kalou,27,CAM,84,77
Mateja Kezman,26,CF,84,80
Johan Micoud,32,CAM,84,80
Jens Lehmann,35,GK,84,81
Mehmet Scholl,34,CAM,84,75
Dietmar Hamann,31,CDM,84,77
Jan Lastuvka,23,GK,83,74
Ricardo Oliveira,25,ST,83,82
SebastiÃ¡n GonzÃ¡lez,26,ST,83,79
Esteban,30,GK,83,81
Oswaldo SÃ¡nchez,31,GK,83,79
Julio Baptista,23,CAM,83,81
Anthony RÃ©veillÃ¨re,25,RB,83,81
Pablo,24,CB,83,79
Alex,27,CAM,83,77
Prats,33,GK,83,76
Felipe,27,CAM,83,79
Paulo Ferreira,26,RB,83,81
Andrej Voronin,26,ST,83,80
David Albelda,27,CDM,83,75
Cacau,24,ST,83,80
Giovanni,32,CAM,83,79
Per Mertesacker,20,CB,83,79
Edu,27,CM,83,83
Johan MjÃ_llby,34,CB,83,77
Helge Payer,26,GK,83,71
Kevin Kuranyi,23,ST,83,83
Mantorras,23,ST,83,79
TristÃ¡n,29,ST,83,80
Asier Del Horno,24,LB,83,84
Rafael van der Vaart,22,CAM,83,81
Sidney Govou,26,ST,83,81
Edmilson,29,CB,83,86
Ingo Hertzsch,28,CB,83,75
DÃ©dÃ©,27,LM,83,82
Alexander Frei,26,ST,83,80
Facundo Quiroga,27,CB,83,78
Maniche,27,CAM,83,79
Vitor BaÃ_a,35,GK,83,83
Sami HyypiÃ_,31,CB,83,78
Kevin Hofland,26,CB,83,78
Martin Petrov,26,LWM,83,77
Juan Pablo ÃÅngel,29,ST,83,81
Arne Friedrich,26,RB,83,83
Habib Beye,27,RWB,83,81
Miroslav Klose,27,ST,83,82
Enzo Maresca,25,CM,83,83
Pablo Alfaro,36,CB,83,78
Rufete,28,RWM,83,77
Pochettino,33,CB,83,79
Scott Parker,24,CM,83,78
Nicolas Anelka,26,ST,83,82
Boudewijn Zenden,29,LWM,83,73
Boris Zivkovic,29,CB,83,75
Teddy Richert,30,GK,83,80
Vincenzo Montella,31,CF,83,82
Roger,27,CAM,83,78
Tomasz Waldoch,34,CB,83,79
Nigel Martyn,39,GK,83,80
Javier Pedro Saviola,23,ST,83,80
Lionel Letizi,32,GK,83,80
Laurent Robert,30,LWM,83,77
Sebastien Frey,25,GK,83,81
Christian Abbiati,28,GK,83,81
Frank Fahrenhorst,27,CB,83,76
Mark Schwarzer,32,GK,83,74
Flavio Roma,31,GK,83,84
Augustine Okocha,32,CAM,83,83
Joo Young Park,20,CF,82,79
Collin Eric,37,CAM,82,76
Robert Enke,28,GK,82,78
Ivica Olic,25,ST,82,81
Dmitriy Sennikov,29,CB,82,78
Sergey Ovchinnikov,34,GK,82,78
Gustavo Adolfo MunÃºa,27,GK,82,78
Lucho GonzÃ¡lez,24,CAM,82,81
AndrÃ©s D'Alessandro,24,CAM,82,81
Diego,20,CAM,82,79
Fernando,26,CAM,82,72
JosÃ© Antonio GarcÃ_a Calvo,30,CB,82,79
Dagoberto,22,LF,82,79
Salva,30,ST,82,80
Oleguer,25,CB,82,82
Alexandr Kerzhakov,22,ST,82,79
Petri Pasanen,24,CB,82,77
Arjan De Zeeuw,35,CB,82,71
Juninho,32,CAM,82,81
Massimo Ambrosini,28,CDM,82,76
Sheyi Emmanuel Adebayor,21,ST,82,80
Tim Wiese,23,GK,82,76
Tim Cahill,25,CM,82,81
SÃ©bastien Squillaci,25,CB,82,77
Ledley King,24,CB,82,77
Ernesto Javier Chevanton,25,ST,82,80
PavÃ_n,25,CB,82,81
Daniel Aranzubia,25,GK,82,80
Euzebiusz Smolarek,24,LF,82,78
Walter Pandiani,29,ST,82,81
Florent Malouda,25,CAM,82,79
JÃ©rÃ´me Alonzo,32,GK,82,78
Eric CarriÃ¨re,32,CAM,82,76
CaÃ§apa,29,CB,82,81
Park J. S.,24,CAM,82,81
Didier Drogba,27,ST,82,84
Diego Klimowicz,31,ST,82,79
Mehdi Mahdavikia,28,RWM,82,76
EdÃ_lson,33,ST,82,78
Quaresma,21,RWM,82,80
Costinha,30,CM,82,79
Dejan Stefanovic,30,CB,82,77
Wes Brown,25,CB,82,76
Martin Laursen,28,CB,82,78
Peguy Luyindula,26,ST,82,75
Roque JÃºnior,28,CB,82,77
Josip Simunic,27,CB,82,78
Darko Kovacevic,31,ST,82,82
Craig Bellamy,26,ST,82,80
Amedeo Carboni,40,LB,82,79
Mark Viduka,29,ST,82,77
Jussi Jaaskelainen,30,GK,82,81
Robin van Persie,22,ST,82,81
Patrick Kluivert,29,ST,82,80
Kiki Musampa,28,LWM,82,78
Bixente Lizarazu,35,LWB,82,77
Emerson,29,CM,82,79
Morgan De Sanctis,28,GK,82,76
Debray DarÃ_o Silva,32,ST,82,79
CÃ©sar,33,GK,82,81
Ricardo,29,GK,82,73
Martin Stranzl,25,CB,82,79
Jesper GrÃ¸nkjÃ_r,28,LWM,82,77
FrÃ©dÃ©ric KanoutÃ©,27,ST,82,82
Darius Vassell,25,ST,82,80
Robbie Keane,25,ST,82,78
Ryan Giggs,31,LM,82,83
Roy Keane,34,CM,82,77
IvÃ¡n De la PeÃ±a,29,CM,81,83
Carlos MarÃ_a Morales,35,CF,81,76
Justo Villar,28,GK,81,81
Luis Amaranto Perea,26,CB,81,78
Aggelos Basinas,29,CDM,81,85
Vasilis Lakis,28,RWM,81,81
Mihalis Kapsis,31,CB,81,77
Valeri Bojinov,19,ST,81,71
Matuzalem,25,CAM,81,76
Munitis,30,RWM,81,77
EdÃº,26,CAM,81,75
Antonio Guayre,25,CF,81,77
Pierre van Hooijdonk,35,ST,81,77
Gonzalo Javier RodrÃ_guez,21,CB,81,77
Paolo Di Canio,37,CAM,81,69
Eric Abidal,26,LB,81,81
Austin Ejide,21,GK,81,73
Helton,27,GK,81,79
Roberto Carlos Abbondanzieri,33,GK,81,84
Martin JÃ¸rgensen,28,LWM,81,79
Thomas SÃ¸rensen,29,GK,81,79
KlÃ©ber,25,LB,81,79
Charles Itandje,22,GK,81,76
Patrick MÃ_ller,28,CB,81,72
Savo Milosevic,31,ST,81,80
Aragoneses,28,GK,81,79
Roger,28,LM,81,82
Romero,34,CB,81,79
Yakubu,22,ST,81,79
Nestor Roberto Sensini,38,CB,81,72
Sotiris Kyrgiakos,26,CB,81,70
Michalis Konstantinou,27,ST,81,74
MartÃ_n Palermo,31,ST,81,80
Matthew Upson,26,CB,81,75
Papa Bouba Diop,27,CDM,81,78
JÃºlio CÃ©sar,25,GK,81,75
Mohamed Zidan,23,ST,81,78
Daniele Bonera,24,CB,81,81
Fabio Liverani,29,CM,81,74
GaÃ«l Givet,23,CB,81,75
Abdoulaye MeÃ¯tÃ©,24,CB,81,75
Per KrÃ¸ldrup,26,CB,81,78
Zdenek Grygera,25,CB,81,78
Joseph Yobo,24,CB,81,81
Lucas Ademar Bernardi,27,CM,81,83
Vahid Hashemian,29,ST,81,77
Sylvain Distin,27,CB,81,76
Wesley Sonck,27,ST,81,79
Mark Van Bommel,28,CM,81,83
Joos Valgaeren,29,CB,81,76
Owen Hargreaves,29,CDM,81,60
Jean-Alain Boumsong,25,CB,81,75
Palop,31,GK,81,73
Shota Arveladze,32,ST,81,74
Landon Donovan,23,CAM,81,74
Mark Iuliano,32,CB,81,77
Kakhaber Kaladze,27,LB,81,77
Cristian Chivu,24,LB,81,80
Giovanni Van Bronckhorst,30,LB,81,83
Michael Reiziger,32,RB,81,79
Torsten Frings,28,CDM,81,80
Steve Marlet,31,ST,81,76
Simone Perrotta,27,CDM,81,76
Nicola Legrottaglie,27,CB,81,75
Christian Gimenez,30,ST,81,76
Bernd Schneider,31,RM,81,83
Kevin Kilbane,28,LM,81,83
FrÃ©dÃ©ric DÃ©hu,32,CB,81,77
Vikash Dhorasoo,31,CAM,81,77
Yildiray BastÃ_rk,26,CAM,81,79
Mancini,25,RWM,81,71
Steve Finnan,29,RB,81,81
Andrew Cole,33,ST,81,78
Ugo Ehiogu,32,CB,81,75
Naldo,22,CB,80,76
Anderson,17,CAM,80,74
JosÃ© Mari,26,ST,80,78
Sequeira Ramos Cristovao,30,GK,80,75
Alfredo Moreno,25,ST,80,76
Federico Vilar,28,GK,80,73
Federico InsÃºa,25,CF,80,80
Ramon,33,CAM,80,75
Dimitris Salpigidis,24,RWM,80,77
Fanis Gekas,25,ST,80,78
Massimo Gazzoli,30,GK,80,70
LuisÃ£o,24,CB,80,72
Mirel Radoi,24,CB,80,73
Dmitriy Loskov,31,CAM,80,77
AranzÃ¡bal,32,LWB,80,75
JesÃºs Navas,19,RWM,80,74
Yordi,30,ST,80,79
Otar Khizaneishvili,23,CB,80,71
Sang Chul Yoo,33,CB,80,79
Rafael GarcÃ_a,31,RM,80,74
Nassif Morris,24,CB,80,73
Vincent Kompany,19,CB,80,82
Dmitriy Sytchev,21,ST,80,77
W. SebastiÃ¡n Abreu,28,ST,80,67
Equi,25,CM,80,81
Lugano,24,CB,80,74
Marcinho,24,CF,80,79
FÃ¡bio Costa,27,GK,80,76
Alex,23,CB,80,72
Carlos Ruiz,25,ST,80,77
AntoÃ±ito,27,CF,80,76
PachÃ_n,28,ST,80,80
Ricardo,33,GK,80,79
Gheorghe Craioveanu,37,ST,80,78
Doblas,25,GK,80,73
Santos,26,ST,80,73
ÃÅngel Manuel Vivar Dorado,31,CM,80,78
Mora,32,GK,80,79
Mahler Tressor Moreno,25,CAM,80,70
Ferydoon Zandi,26,CAM,80,73
Portillo,23,ST,80,77
Uwe MÃ¶hrle,25,CB,80,76
Henrik Larsson,33,ST,80,79
David Weir,35,CB,80,78
Steffen Iversen,28,ST,80,79
Lincoln,26,CAM,80,81
Gilberto,28,CM,80,78
Christian Tiffert,23,CM,80,77
Arteta,23,CM,80,80
Mamadou Niang,25,ST,80,77
Matthieu Delpierre,24,CB,80,75
Olof Mellberg,27,CB,80,76
Luca Toni,28,ST,80,75
Michael Carrick,24,CM,80,78
Andreas Isaksson,23,GK,80,78
HÃ©lder Postiga,23,ST,80,79
Bengt SÃ_ternes,30,ST,80,78
Chris Kirkland,24,GK,80,72
Timo Wenzel,27,CB,80,74
El-Hadji Diouf,24,CF,80,79
Brad Friedel,34,GK,80,81
James Beattie,27,ST,80,78
Pierre-Alain Frau,25,ST,80,76
Thomas Gravesen,29,CM,80,77
Yossi Benayoun,25,CAM,80,69
Dick van Burik,31,CB,80,76
Daniel Moreira,28,ST,80,78
Ebbe Sand,33,ST,80,79
Nwankwo Kanu,29,ST,80,77
Nourredine Naybet,35,CB,80,75
Paolo Montero,33,CB,80,75
Claudio Reyna,32,CM,80,77
Zvonimir Soldo,37,CDM,80,71
Simao,25,LWM,80,78
Moreira,23,GK,80,80
Robert Kovac,31,CB,80,76
Christian Fiedler,30,GK,80,77
Simon Jentzsch,29,GK,80,78
Wayne Bridge,25,LB,80,77
Sergej Barbarez,33,CAM,80,75
Hasan Salihamidzic,28,RWM,80,71
LuÃ_s Boa Morte,28,LWM,80,74
Lee Bowyer,28,CM,80,79
Alessandro Costacurta,39,CB,80,78
Alessio Tacchinardi,30,CDM,80,75
Marko Rehmer,33,CB,80,74
Sunday Oliseh,30,CDM,80,72
Dean Ashton,21,CF,80,76
Bernardo Corradi,29,ST,80,75
Samuel Osei Kuffour,28,CB,80,76
Phil Neville,28,CDM,80,72
Emre,24,LM,80,81
Gareth Southgate,34,CB,80,76
Kerlon,17,CAM,79,74
IvÃ¡n Carril,20,CF,79,78
Xisco,19,ST,79,78
Francesc Fabregas,18,CM,79,74
Ilan,24,ST,79,77
Carlos AndrÃ©s Diogo,22,RWB,79,76
Fred,21,ST,79,78
Marcin KuÅºba,28,ST,79,73
Hugo BenjamÃ_n Ibarra,31,RB,79,76
Juan Pablo SorÃ_n,29,LWB,79,78
Kanga AkalÃ©,24,LWM,79,72
Tomasz Dawidowski,27,RWM,79,68
LiÃ©dson,27,ST,79,78
Javi Guerrero,28,ST,79,76
FÃ¡bio Luciano,30,CB,79,73
JosÃ© MarÃ_a Calvo,24,RB,79,76
Lisandro LÃ_pez,22,CF,79,78
Seong Guk Choi,22,RF,79,76
JosÃ© Saturnino Cardozo,34,CF,79,83
Christian Wilhelmsson,25,RWM,79,72
Maxi Lopez,21,ST,79,79
Robert Huth,21,CB,79,74
Bakari KonÃ©,23,ST,79,75
SÃ_lvio Luiz,28,GK,79,77
Richard Javier Morales,30,ST,79,77
Pablo GarcÃ_a,28,CDM,79,75
Gilberto,29,LM,79,79
Edu Dracena,24,CB,79,72
Carlos Alberto,20,CAM,79,77
Vaclav Sverkos,21,ST,79,76
Ã‚nderson,25,CB,79,73
Malik Fathi,21,LB,79,77
Jermaine Pennant,22,RWM,79,73
FernandÃ£o,27,ST,79,76
Javi Navarro,31,CB,79,75
C. Torres,28,RB,79,79
Aganzo,24,ST,79,77
Jonathan,19,ST,79,77
Lopo,25,CB,79,74
Hamit Altintop,22,RM,79,80
Stewart Downing,21,LWM,79,71
Alexander Madlung,23,CB,79,74
TomÃ¡s GalÃ¡sek,32,CM,79,75
Steffen Hofmann,24,CAM,79,72
Angelos Charisteas,25,ST,79,76
Mohammadou Idrissou,25,ST,79,75
Olivier TÃ©bily,29,CB,79,73
Jan Simak,26,CAM,79,71
Tony Hibbert,24,RB,79,78
Simon Davies,25,RM,79,81
Philippe Senderos,20,CB,79,76
Sylvain Monsoreau,24,CB,79,74
Jermaine Jenas,22,CM,79,78
Cory Gibbs,25,CB,79,69
Mikael Forssell,24,ST,79,77
Morten Gamst Pedersen,24,LM,79,79
Marcelo Zalayeta,27,ST,79,76
Brede Paulsen Hangeland,24,CB,79,77
Ivan Pelizzoli,24,GK,79,71
Andreas Hinkel,23,RB,79,78
Axel Cedric Konan,22,ST,79,76
StÃ©phane Borbiconi,26,CB,79,74
Sylvain Armand,25,LB,79,78
Shola Ameobi,23,ST,79,77
Lee Y. P.,28,LWB,79,77
Kim KÃ_llstrÃ¶m,23,CAM,79,76
Dimitar Berbatov,24,ST,79,82
Jacek KrzynÃ_wek,29,LWM,79,76
Ewerthon,24,RS,79,77
Fernando Sales,27,RWM,79,75
Erik Hagen,30,CB,79,74
Bosko Balaban,26,ST,79,76
IvÃ¡n CÃ_rdoba,28,LB,79,77
Nicolas Gillet,28,CB,79,75
Olivier Kapo,24,LWM,79,70
Gerald Asamoah,26,RS,79,78
Thomas Myhre,31,GK,79,69
Danijel Ljuboja,26,ST,79,78
IvÃ¡n Campo,31,CDM,79,76
Movilla,30,CDM,79,77
Ian Harte,27,LB,79,72
Valerio Bernado,32,CB,79,73
Claus Lundekvam,32,CB,79,70
Hans-JÃ¶rg Butt,31,GK,79,74
Boubacar Diarra,26,CB,79,68
Murat Yakin,30,CB,79,77
Wilfred Bouma,27,CB,79,77
Philip Cocu,34,CM,79,78
MickaÃ«l Pagis,32,CF,79,76
Peter Bernard Luccin,26,CM,79,78
Tiago,24,CM,79,73
Miguel,25,RB,79,72
Claus Jensen,28,CM,79,77
Frank Baumann,29,CDM,79,68
Okan Buruk,31,RWM,79,74
Ulrich RamÃ©,32,GK,79,76
Rick Hoogendorp,30,ST,79,68
Olivier Dacourt,30,CDM,79,68
Rigobert Song,29,CB,79,76
Tore Andre Flo,32,ST,79,77
Francesco Cozza,31,CAM,79,75
Lorenzo Amoruso,34,CB,79,72
Stelios Giannakopoulos,31,RM,79,75
Thomas Linke,35,CB,79,71
Cosmin Marius Contra,29,RB,79,75
Nicky Butt,30,CDM,79,70
Gary Neville,30,RB,79,79
Robbie Fowler,31,ST,79,78
Youssef Wasef Mohamad,25,CB,78,71
Lionel Messi,18,CAM,78,75
AdaÃ_lton,21,CB,78,73
Dejan Petkovic,32,CAM,78,75
Diego MartÃ_nez,24,RWB,78,66
Juan Pablo GarcÃ_a,23,CAM,78,74
Ricardo Cabanas,26,RM,78,73
Pietro Marco Strada,35,CM,78,74
Ibson,21,CM,78,76
Samuel Koejoe,31,ST,78,72
Marco Rossi,27,RWM,78,73
Christian RiganÃ_,31,ST,78,76
Jiri Jarosik,27,CAM,78,76
Ciprian Andrei Marica,19,ST,78,76
Edgar,28,CF,78,75
Riki,25,ST,78,77
MejÃ_a,23,CB,78,73
Raul Bravo,24,LB,78,79
Leo Franco,28,GK,78,77
Zvonimir Vukic,26,CAM,78,71
Leandro FernÃ¡ndez,22,CB,78,69
Guillermo Barros Schelotto,32,RS,78,77
Roberto Nanni,24,ST,78,77
Tal Ben Haim,23,CB,78,72
Patrik Andersson,34,CB,78,72
CÃ©sar FabiÃ¡n Delgado,24,RF,78,81
DarÃ_o Anastacio VerÃ_n,26,CB,78,78
Jared Borgetti,32,ST,78,75
Neil Mellor,23,ST,78,70
David Rozehnal,25,CB,78,74
Lucien Mettomo,28,CB,78,73
SÃ©rgio,35,GK,78,74
Khalid Boulahrouz,23,RB,78,75
Cyril Domoraud,34,CB,78,67
Ismael Urzaiz,33,ST,78,77
Diego,20,RS,78,76
Gomes,24,GK,78,76
Marouane Chamakh,21,ST,78,77
Christophe Revault,33,GK,78,77
Sammy TraorÃ©,29,CB,78,73
CuÃ©llar,32,ST,78,73
Fernando NiÃ±o,30,CB,78,74
CÃ©sar,28,CB,78,77
Marco Streller,24,ST,78,77
David Velasquez Suazo,25,ST,78,74
Christian Grindheim,22,CM,78,75
Linvoy Primus,31,CB,78,69
Maxwell,23,LWB,78,74
Andy Reid,18,LWM,78,75
Daniele De Rossi,22,CDM,78,76
Camacho,25,CM,78,73
Ioannis Amanatidis,23,ST,78,76
Campano,26,RM,78,76
Maik Taylor,33,GK,78,76
Paul Konchesky,36,LB,78,76
Steven Cherundolo,26,RB,78,75
Dariusz Zuraw,32,CB,78,71
Nebojsa Krupnikovic,32,CAM,78,76
Olivier Thomert,25,LWM,78,74
Steve Harper,17,GK,78,75
Duncan Ferguson,33,ST,78,77
Gustavo Varela,27,CAM,78,77
Aleksander Knavs,29,CB,78,74
Maik Franz,24,CB,78,72
PÃ_r Zetterberg,34,CAM,78,73
Eddie Johnson,21,ST,78,75
Matteo Brighi,24,CDM,78,74
Imre Szabics,24,ST,78,74
Djimi Traore,25,LB,78,78
David Cortes Pizarro,25,CM,78,76
Martin Andresen,28,CM,78,77
Fitz Hall,24,CB,78,74
Danny Murphy,28,CM,78,79
Rein van Duijnhoven,37,GK,78,77
Clinton Morrison,26,ST,78,74
Alan Smith,24,ST,78,76
Andrew Johnson,24,ST,78,75
Lomano Tresor Lua-Lua,24,ST,78,76
Hidetoshi Nakata,28,CAM,78,76
Seydou KeÃ¯ta,25,LM,78,75
Bastian Reinhardt,29,CB,78,68
Mauricio AndrÃ©s Pellegrino,33,CB,78,74
Magnolo Eduardo Berizzo,35,CB,78,76
Oliver Neuville,32,CF,78,76
Thorstein Helstad,28,ST,78,76
Santiago Ezquerro,28,ST,78,79
Manuele Blasi,25,CM,78,73
Gareth Barry,24,LM,78,75
Geremi,26,RM,78,72
Sturdza Corneliu,30,CB,78,74
Arni Gautur Arason,30,GK,78,75
Kerimoglu Tugay,35,CDM,78,76
Nuno Gomes,29,ST,78,75
Richard Dunne,25,CB,78,74
Hakan Yakin,28,CAM,78,74
